観測所番号,観測所名,ふりがな,水系名,河川名,河川名(表示用),市町村名,住所,緯度,経度,所管事務所名,データ所管,零点高[T.P.m],水防団待機[m],はん濫注意[m],避難判断[m],はん濫危険[m]
8,上戸手(国),かみとで,芦田川,芦田川,,福山市,福山市新市町上戸手,34.54388888888889,133.2863888888889,東部建設事務所,国土交通省,13.09,3.00,4.00,,
26,山手左岸(国),やまてさがん,芦田川,芦田川,,福山市,福山市山手町官有無番地,34.49333333333333,133.34,東部建設事務所,国土交通省,1.78,,,,
11,山守橋(国),やまもりばし,芦田川,芦田川,,福山市,福山市駅家町上山守地先,34.530277777777776,133.33194444444445,東部建設事務所,国ダム,9.00,,,,
18,西神島(国),にしかしま,芦田川,瀬戸川,,福山市,福山市西神島町新町,34.48361111111111,133.34055555555557,東部建設事務所,国土交通省,2.25,,1.80,2.05,2.55
97,津之郷,つのごう,芦田川,加屋川,,福山市,福山市津之郷町津之郷字芹田７９２?２,34.48111111111111,133.31916666666666,東部建設事務所,河川課,6.83,,,,
160,瀬戸山北,せとさぼく,芦田川,河手川,,福山市,福山市瀬戸町山北564,34.47222222222222,133.31111111111113,東部建設事務所,河川課,10.00,,1.75,2.50,2.70
64,古市,ふるいち,芦田川,高屋川,,福山市,福山市神辺町古市,34.54666666666667,133.38805555555555,東部建設事務所,河川課,9.30,2.05,2.75,3.40,3.65
16,御幸(国),みゆき,芦田川,高屋川,,福山市,福山市御幸町中津原地先,34.52027777777778,133.35777777777778,東部建設事務所,国土交通省,2.95,3.50,4.50,5.40,5.80
17,神辺(国),かんなべ,芦田川,高屋川,,福山市,福山市神辺町大字上御領,34.573888888888895,133.41833333333332,東部建設事務所,国土交通省,19.51,,,,
13,掛ノ橋(国),かけのはし,芦田川,高屋川,,福山市,福山市神辺町領家,34.53777777777778,133.33444444444444,東部建設事務所,国土交通省,8.12,,,,
35,万能倉,まなぐら,芦田川,吉野川,,福山市,福山市駅家町大字万能倉３１７?２,34.54694444444444,133.3363888888889,東部建設事務所,河川課,12.30,0.80,0.95,1.25,1.50
34,中野,なかの,芦田川,加茂川,,福山市,福山市加茂町大字中野２６６?４,34.5675,133.34444444444446,東部建設事務所,河川課,22.50,0.50,0.70,1.25,1.40
107,沼,ぬま,芦田川,加茂川,,福山市,福山市御幸町字下岩成１２２９地先,34.54555555555555,133.34861111111113,東部建設事務所,河川課ダムG,5.31,,5.55,6.25,6.90
108,加茂,かも,芦田川,加茂川,,福山市,福山市加茂町芦原字出雲８１５?２の地先,34.58861111111111,133.3563888888889,東部建設事務所,河川課ダムG,45.99,,3.10,3.60,3.75
105,大谷池,おおたにいけ,芦田川,四川,,福山市,福山市加茂町百谷２１９３?１４,34.60888888888889,133.32694444444445,東部建設事務所,河川課ダムG,211.00,,,,
106,百谷,ももだに,芦田川,四川,,福山市,福山市加茂町字百谷,34.60444444444445,133.32888888888888,東部建設事務所,河川課ダムG,5.44,,,,
110,出雲,いずも,芦田川,四川,,福山市,福山市加茂町字芦原字出雲８３８,34.59,133.35583333333332,東部建設事務所,河川課ダムG,7.41,,,,
109,種,たね,芦田川,谷尻川,,福山市,福山市加茂町字北山１８９,34.611666666666665,133.33666666666667,東部建設事務所,河川課ダムG,6.68,,,,
33,西中条,にしちゅうじょう,芦田川,箱田川,,福山市,福山市神辺町字西中条梶久９４５?１,34.56388888888888,133.37055555555557,東部建設事務所,河川課,21.00,1.00,1.15,2.05,2.20
159,駅家中島,えきやなかじま,芦田川,服部川,,福山市,福山市駅家町中島1125-3,34.55027777777777,133.32166666666666,東部建設事務所,河川課,16.50,,1.70,1.95,2.30
101,服部,はっとり,芦田川,服部川,,福山市,福山市駅家町助元１３２２,34.58277777777778,133.31194444444446,東部建設事務所,河川課,56.46,,,,
36,福田,ふくだ,芦田川,有地川,,福山市,福山市芦田町大字福田７３４?３,34.534166666666664,133.28722222222223,東部建設事務所,河川課,17.86,1.20,1.55,1.65,1.80
62,大橋,おおはし,芦田川,才町川,,福山市,福山市駅家町大橋,34.535555555555554,133.315,東部建設事務所,河川課,9.96,,,,
37,上安井,かみやすい,芦田川,神谷川,,福山市,福山市新市町大字上安井２の４地先,34.587500000000006,133.2686111111111,東部建設事務所,河川課,45.71,0.70,1.35,1.75,1.95
63,新市宮内,しんいちみやうち,芦田川,神谷川,,福山市,福山市新市町大字宮内２１５５?３,34.565555555555555,133.2775,東部建設事務所,河川課,25.31,,,,
20,新市(国),しんいち,芦田川,神谷川,,福山市,福山市新市町新市,34.55472222222222,133.27722222222224,東部建設事務所,国土交通省,17.99,,,,
66,山野,やまの,高梁川,小田川,,福山市,福山市山野町山野,34.65416666666667,133.39138888888888,東部建設事務所,河川課,95.24,,,,
40,今津,いまづ,本郷川,本郷川,,福山市,福山市今津町字為安２０４３地先,34.462500000000006,133.2486111111111,東部建設事務所,河川課,8.14,0.70,1.00,1.05,1.15
99,松永,まつなが,羽原川,羽原川,,福山市,福山市神村町７３７,34.45472222222222,133.26388888888889,東部建設事務所,河川課,2.09,,1.15,1.15,1.30
98,沼隈,ぬまくま,山南川,山南川,,福山市,福山市沼隈町大字草深１８８９?６,34.390277777777776,133.31833333333333,東部建設事務所,河川課,1.71,,1.20,1.45,1.60
100,手城,てしろ,単独河川,手城川,,福山市,福山市春日町７丁目  ４?１,34.509166666666665,133.41305555555556,東部建設事務所,河川課,-0.43,,1.00,1.40,1.60
117,春日池,かすがいけ,単独河川,手城川,,福山市,福山市春日町４丁目,34.513333333333335,133.41777777777776,東部建設事務所,河川課,4.10,,,,
118,福川,ふくがわ,芦田川,福川,,福山市,福山市神島町４丁目,34.48416666666667,133.34083333333334,東部建設事務所,河川課,2.52,,,,
41,二森,ふたもり,江の川,上下川,,府中市,府中市上下町二森字下陰地２０?１地先,34.70277777777778,133.13722222222222,東部建設事務所,河川課,306.80,,,,
1015,前原,まえばら,芦田川,芦田川,,府中市,府中市父石町下前原,34.559999999999995,133.2175,東部建設事務所,農業基盤課,341.00,,,,
2,府中(国),ふちゅう,芦田川,芦田川,,府中市,府中市府川町,34.564166666666665,133.2361111111111,東部建設事務所,国土交通省,24.71,1.50,2.50,3.60,3.90
9,矢野原(国),やのはら,芦田川,芦田川,,府中市,府中市河佐町大字矢野原,34.59916666666667,133.18666666666667,東部建設事務所,国土交通省,97.88,3.00,4.00,4.00,4.60
10,永野山(国),ながのやま,芦田川,芦田川,,府中市,府中市久佐町字ツカ丸286-105,34.59111111111111,133.15166666666667,東部建設事務所,国ダム,157.70,,,,
96,府中砂川,ふちゅうすなかわ,芦田川,砂川,,府中市,府中市元町字松原３４２?１,34.57694444444445,133.23944444444444,東部建設事務所,河川課,31.36,,1.05,1.25,1.50
38,大黒,だいこく,芦田川,出口川,,府中市,府中市出口町字大黒町１１２３,34.57694444444445,133.22722222222222,東部建設事務所,河川課,35.20,0.70,0.80,1.00,1.15
42,甲山,こうざん,芦田川,芦田川,,世羅町,世羅郡世羅町字高野西上原,34.58444444444444,133.05861111111113,三原支所,農業基盤課,330.74,1.70,1.95,2.25,2.65
43,駅前,えきまえ,芦田川,芦田川,,世羅町,世羅郡世羅町大字伊尾字三川,34.63,133.10944444444445,三原支所,農業基盤課,244.60,,,,
4,伊尾(国),いお,芦田川,芦田川,,世羅町,世羅郡世羅町大字伊尾,34.62916666666667,133.10999999999999,三原支所,国ダム,249.55,,,,
14,宇津戸川(国),うづとがわ,芦田川,宇津戸川,,世羅町,世羅郡世羅町大字宇津戸字田原4-3,34.568333333333335,133.1277777777778,三原支所,国ダム,279.35,,,,
19,矢多田川(国),やただがわ,芦田川,矢多田川,,世羅町,世羅郡世羅町伊尾字清信2078,34.63527777777778,133.11027777777778,三原支所,国ダム,254.75,,,,
111,伊尾,いお,芦田川,山田川,,世羅町,世羅郡世羅町大字伊尾1382-18,34.62916666666667,133.10000000000002,三原支所,河川課ダムG,258.77,,,,
112,青近,あおちか,芦田川,山田川,,世羅町,世羅郡世羅町大字青近1439-9,34.636944444444445,133.0825,三原支所,河川課ダムG,350.00,,,,
1,粟屋(国),あわや,江の川,江の川,,三次市,三次市粟屋中野,34.79111111111111,132.8322222222222,北部建設事務所,国土交通省,149.01,4.50,5.60,6.10,6.50
2,尾関山(国),おぜきやま,江の川,江の川,,三次市,三次市三次町五日市,34.81166666666666,132.84111111111113,北部建設事務所,国土交通省,144.15,6.00,8.00,8.90,9.50
3,大津(国),おおつ,江の川,江の川,,島根県,島根県邑智郡邑南町下口羽,34.88805555555555,132.67805555555555,北部建設事務所,国土交通省,96.13,4.20,5.20,,
19,上川立(国),かみかわたち,江の川,江の川,,三次市,三次市上川立町,34.72416666666667,132.78555555555556,北部建設事務所,国土交通省,172.97,,,,
51,藤兼,ふじかね,江の川,神野瀬川,,三次市,三次市君田町藤兼南組４０１番地地先,34.85916666666667,132.84611111111113,北部建設事務所,河川課,199.23,1.85,2.05,3.35,3.50
6,神野瀬川(国),かんのせがわ,江の川,神野瀬川,,三次市,三次市三原町中三原,34.830000000000005,132.80555555555557,北部建設事務所,国土交通省,156.27,3.50,4.50,5.10,5.50
52,下布野,しもふの,江の川,布野川,,三次市,三次市布野町下布野字大伴３７０?１番地地先,34.865,132.79305555555555,北部建設事務所,河川課,193.54,1.30,1.55,1.55,1.90
45,岡田,おかだ,江の川,馬洗川,,三次市,三次市三良坂町岡田７３?１番地地先,34.77027777777778,132.93166666666664,北部建設事務所,河川課,166.35,3.15,3.30,3.30,3.50
46,三玉,みたま,江の川,馬洗川,,三次市,三次市吉舎町三玉川隅学校橋,34.73388888888889,132.98833333333332,北部建設事務所,河川課,200.43,1.35,1.70,2.05,2.25
5,南畑敷(国),みなみはたしき,江の川,馬洗川,,三次市,三次市南畑敷町,34.80277777777778,132.88250000000002,北部建設事務所,国土交通省,154.39,3.50,4.40,5.60,6.00
50,小文,おぶみ,江の川,西城川,,三次市,三次市小文町３９?４番地地先,34.83444444444444,132.85444444444443,北部建設事務所,河川課,159.95,2.90,3.80,4.80,5.30
8,三次(国),みよし,江の川,西城川,,三次市,三次市三次町太才,34.816944444444445,132.84666666666666,北部建設事務所,国土交通省,152.53,3.00,4.00,5.60,5.90
47,小田幸,こだこう,江の川,美波羅川,,三次市,三次市小田幸町１３９?１番地地先,34.76138888888889,132.90416666666667,北部建設事務所,河川課,172.82,1.60,1.80,1.80,2.15
48,上壱,かみいち,江の川,美波羅川,,三次市,三次市三和町上壱２７６８?３番地地先,34.650555555555556,132.86222222222221,北部建設事務所,河川課,299.63,1.25,1.35,1.40,1.65
49,和知,わち,江の川,国兼川,,三次市,三次市和知町２１３６番地地先,34.809444444444445,132.93166666666664,北部建設事務所,河川課,182.07,1.50,1.90,2.10,2.40
4,計納(国),との,江の川,上下川,,三次市,三次市三良坂町仁賀計納479,34.79055555555556,132.98583333333332,北部建設事務所,国土交通省,197.30,1.90,2.35,3.95,4.05
17,上安田(国),かみやすだ,江の川,上下川,,三次市,三次市吉舎町上安田下郷,34.74666666666667,133.03583333333333,北部建設事務所,国土交通省,249.02,2.65,2.95,3.80,4.05
18,市場(国),いちば,江の川,上下川,,三次市,三次市三良坂町仁賀896-1,34.78611111111111,132.98055555555555,北部建設事務所,国土交通省,194.69,,,,
102,十日市,とうかいち,江の川,北溝川,,三次市,三次市十日市東4-6-1,34.80611111111111,132.85888888888888,北部建設事務所,河川課,153.23,,1.00,1.00,1.20
44,下志和地,しもしわち,江の川,板木川,,三次市,三次市下志和地町２６５５?１番地地先,34.728611111111114,132.8211111111111,北部建設事務所,河川課,192.82,1.40,1.85,1.85,2.20
54,西城,さいじょう,江の川,西城川,,庄原市,庄原市西城町中野字亀崎６３１番の１４番地先,34.94333333333333,133.12222222222223,庄原支所,河川課,320.55,1.50,1.80,2.95,3.65
103,高,たか,江の川,西城川,,庄原市,庄原市川西町字中島,34.9,133.08166666666665,庄原支所,河川課,276.22,,1.10,2.30,2.60
9,庄原(国),しょうばら,江の川,西城川,,庄原市,庄原市本町柳,34.863055555555555,133.01222222222222,庄原支所,国土交通省,232.18,3.00,4.00,,
115,石丸,いしまる,江の川,西城川,,庄原市,庄原市東本町2丁目,34.86361111111111,133.03166666666667,庄原支所,河川課,240.88,,2.65,4.15,4.85
116,下金田,しもきんでん,江の川,西城川,,庄原市,庄原市水越町字大貝１３０９?１,34.85722222222223,132.88722222222222,庄原支所,河川課,176.03,,,,
53,比和,ひわ,江の川,比和川,,庄原市,庄原市比和町比和１１１９の１番地先,34.98305555555556,132.98638888888888,庄原支所,河川課,415.75,1.00,1.35,1.45,1.70
156,戸郷川,とごうがわ,江の川,戸郷川,,庄原市,庄原市板橋町字西原沖50-1,34.85,133.01416666666665,庄原支所,河川課,247.42,,1.60,1.60,2.10
16,竹の花(国),たけのはな,江の川,田総川,,庄原市,庄原市総領町稲草,34.78,133.04416666666665,庄原支所,国土交通省,247.10,,,,
55,東城,とうじょう,高梁川,成羽川,,庄原市,庄原市東城町川西字榎ヶ坪２２６の４番地先,34.88611111111111,133.27694444444447,庄原支所,河川課,293.30,3.00,3.20,3.75,4.00
13,向原,むかいはら,太田川,三篠川,,安芸高田市,安芸高田市向原町長田字田屋３４６２?２地先,34.60722222222223,132.70333333333332,北部建設事務所,河川課,169.40,0.65,0.65,1.05,1.15
10,吉田(国),よしだ,江の川,江の川,,安芸高田市,安芸高田市吉田町内堀,34.665277777777774,132.7147222222222,北部建設事務所,国土交通省,191.85,4.60,5.90,5.90,6.50
15,下土師(国),しもはじ,江の川,江の川,,安芸高田市,安芸高田市八千代町下土師,34.64055555555556,132.6213888888889,北部建設事務所,国ダム,218.97,,,,
86,下原,しもばら,江の川,長瀬川,,安芸高田市,安芸高田市高宮町川根字下原,34.82361111111111,132.68166666666664,北部建設事務所,河川課,128.43,,,,
87,門田,もんでん,江の川,生田川,,安芸高田市,安芸高田市高宮町房後字立石,34.76694444444444,132.7238888888889,北部建設事務所,河川課,215.09,,,,
14,上甲立,かみこうだち,江の川,本村川,,安芸高田市,安芸高田市甲田町上甲立字六地蔵１２５２?１地先,34.708333333333336,132.7397222222222,北部建設事務所,河川課,196.24,,,,
157,多治比,たじひ,江の川,多治比川,,安芸高田市,安芸高田市吉田町多冶比,34.68194444444444,132.67416666666665,北部建設事務所,河川課,231.20,,0.70,0.85,1.15
10,土居(国),どい,太田川,太田川,,安芸太田町,山県郡安芸太田町土居,34.57361111111111,132.23194444444445,安芸太田支所,国土交通省,265.35,3.10,3.55,3.65,3.90
11,加計(国),かけ,太田川,太田川,,安芸太田町,山県郡安芸太田町中ノ渡,34.60888888888889,132.31972222222223,安芸太田支所,国土交通省,167.80,0.00,2.00,2.90,3.70
26,黒滝(国),くろたき,太田川,滝山川,,安芸太田町,山県郡安芸太田町大字向山字黒滝地内,34.66833333333333,132.29944444444445,安芸太田支所,国ダム,381.60,,,,
27,滝山(国),たきやま,太田川,滝山川,,安芸太田町,山県郡安芸太田町加計大字加計字八幡5908-7,34.62361111111111,132.31722222222223,安芸太田支所,国ダム,182.20,,,,
28,後平(国),うしろびら,太田川,滝山川,,安芸太田町,山県郡安芸太田町加計大字加計字大平1940-1,34.625277777777775,132.30083333333334,安芸太田支所,国ダム,182.30,,,,
85,大朝,おおあさ,江の川,江の川,,北広島町,山県郡北広島町大朝２４９３,34.77166666666667,132.46388888888887,安芸太田支所,河川課,393.28,,,,
14,川井(国),かわい,江の川,江の川,,北広島町,山県郡北広島町川井,34.677499999999995,132.56972222222223,安芸太田支所,国ダム,254.90,2.50,3.50,,
12,春木,はるき,江の川,志路原川,,北広島町,山県郡北広島町春木字茶堂１４２５?３地先,34.68416666666666,132.5263888888889,安芸太田支所,河川課,273.50,0.90,1.10,1.55,1.65
155,石井谷,いしいたに,江の川,冠川,,北広島町,山県郡北広島町石井谷字岸本,34.660555555555554,132.53416666666666,安芸太田支所,河川課,273.79,,2.05,2.10,2.30
